,acc,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/decay,config/epsilon,config/lr,config/ngames,config/ngates,config/optimizer,config/params/attempt,config/params/cursor_y_axis,config/params/display,config/params/display_scale,config/params/game_height,config/params/game_width,config/params/game_x_axis,config/params/game_y_axis,config/params/gate_cushion,config/params/gate_min_distance,config/params/gate_size,config/params/ngates,config/params/player_start_x,config/params/plot_score,config/params/speed,config/params/target_acc,config/params/total_games,logdir
0,-0.6,33.77589988708496,False,1,5d41e_00000,2023-08-12_21-05-11,1691888711,33.77589988708496,444711,farpoint,10.0.0.144,33.77589988708496,1,0.06251101399052315,0.07188275227749845,0.0009286660255394969,5,3,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00000_0_decay=0.0625,epsilon=0.0719,lr=0.0009,ngames=5,ngates=3,optimizer=Adam_2023-08-12_21-04-33"
1,-0.7037037037037037,14.038298845291138,False,1,5d41e_00001,2023-08-12_21-04-51,1691888691,14.038298845291138,444702,farpoint,10.0.0.144,14.038298845291138,1,0.17202295485300592,0.3531356007727158,0.000283225125007368,3,3,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00001_1_decay=0.1720,epsilon=0.3531,lr=0.0003,ngames=3,ngates=3,optimizer=RMSprop_2023-08-12_21-04-33"
2,-0.8222222222222222,33.90711760520935,True,1,5d41e_00002,2023-08-12_21-05-11,1691888711,33.90711760520935,444712,farpoint,10.0.0.144,33.90711760520935,1,0.05273972560915169,0.37777766243004995,0.0022933942275831544,5,3,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00002_2_decay=0.0527,epsilon=0.3778,lr=0.0023,ngames=5,ngates=3,optimizer=Adam_2023-08-12_21-04-33"
3,-0.7083333333333334,23.265769720077515,False,1,5d41e_00003,2023-08-12_21-05-00,1691888700,23.265769720077515,444721,farpoint,10.0.0.144,23.265769720077515,1,0.002324741328820379,0.4172899204785064,0.005074665814314134,4,4,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00003_3_decay=0.0023,epsilon=0.4173,lr=0.0051,ngames=4,ngates=4,optimizer=RMSprop_2023-08-12_21-04-33"
4,-0.8888888888888888,20.67122769355774,True,1,5d41e_00004,2023-08-12_21-04-58,1691888698,20.67122769355774,444722,farpoint,10.0.0.144,20.67122769355774,1,0.1275960879484611,0.08535882808161534,0.003862898330785367,4,3,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00004_4_decay=0.1276,epsilon=0.0854,lr=0.0039,ngames=4,ngates=3,optimizer=RMSprop_2023-08-12_21-04-33"
5,-0.6666666666666666,39.73071551322937,False,1,5d41e_00005,2023-08-12_21-05-17,1691888717,39.73071551322937,444723,farpoint,10.0.0.144,39.73071551322937,1,0.3523532912366743,0.32416490923094077,0.030917721912317356,5,6,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00005_5_decay=0.3524,epsilon=0.3242,lr=0.0309,ngames=5,ngates=6,optimizer=SGD_2023-08-12_21-04-33"
6,-0.6666666666666666,29.286257028579712,False,1,5d41e_00006,2023-08-12_21-05-06,1691888706,29.286257028579712,444724,farpoint,10.0.0.144,29.286257028579712,1,0.026091041233505762,0.4586486069184719,0.00014314940751740377,4,6,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00006_6_decay=0.0261,epsilon=0.4586,lr=0.0001,ngames=4,ngates=6,optimizer=SGD_2023-08-12_21-04-33"
7,-0.8888888888888888,16.405598402023315,True,1,5d41e_00007,2023-08-12_21-04-54,1691888694,16.405598402023315,444725,farpoint,10.0.0.144,16.405598402023315,1,0.07508285347494355,0.3056969636805442,0.022105389066345765,3,4,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00007_7_decay=0.0751,epsilon=0.3057,lr=0.0221,ngames=3,ngates=4,optimizer=Adam_2023-08-12_21-04-33"
8,-0.8666666666666667,33.45129084587097,True,1,5d41e_00008,2023-08-12_21-05-10,1691888710,33.45129084587097,444726,farpoint,10.0.0.144,33.45129084587097,1,0.331639912984266,0.049245635568932224,0.000479205218726017,5,4,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00008_8_decay=0.3316,epsilon=0.0492,lr=0.0005,ngames=5,ngates=4,optimizer=SGD_2023-08-12_21-04-33"
9,-0.8055555555555556,30.78600263595581,True,1,5d41e_00009,2023-08-12_21-05-08,1691888708,30.78600263595581,444727,farpoint,10.0.0.144,30.78600263595581,1,0.12670247021915654,0.46801611572427043,3.782447542086282e-05,4,6,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00009_9_decay=0.1267,epsilon=0.4680,lr=0.0000,ngames=4,ngates=6,optimizer=SGD_2023-08-12_21-04-33"
10,-1.0,15.240641832351685,True,1,5d41e_00010,2023-08-12_21-04-53,1691888693,15.240641832351685,444728,farpoint,10.0.0.144,15.240641832351685,1,0.05084011970558189,0.20176362088396566,0.04787871480635709,4,2,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00010_10_decay=0.0508,epsilon=0.2018,lr=0.0479,ngames=4,ngates=2,optimizer=Adam_2023-08-12_21-04-33"
11,-0.9111111111111112,32.37699055671692,True,1,5d41e_00011,2023-08-12_21-05-09,1691888709,32.37699055671692,444737,farpoint,10.0.0.144,32.37699055671692,1,0.05090425259682633,0.4330494706765131,0.00033332140168489935,5,3,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00011_11_decay=0.0509,epsilon=0.4330,lr=0.0003,ngames=5,ngates=3,optimizer=Adam_2023-08-12_21-04-33"
12,-0.9166666666666666,13.92862319946289,True,1,5d41e_00012,2023-08-12_21-04-51,1691888691,13.92862319946289,444746,farpoint,10.0.0.144,13.92862319946289,1,0.0035578207938998458,0.25952960369733197,1.4644699849550203e-05,4,2,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00012_12_decay=0.0036,epsilon=0.2595,lr=0.0000,ngames=4,ngates=2,optimizer=RMSprop_2023-08-12_21-04-33"
13,-0.6,32.83469295501709,False,1,5d41e_00013,2023-08-12_21-05-10,1691888710,32.83469295501709,444747,farpoint,10.0.0.144,32.83469295501709,1,0.002331233126802859,0.08439294392285195,0.05393668392147709,5,3,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00013_13_decay=0.0023,epsilon=0.0844,lr=0.0539,ngames=5,ngates=3,optimizer=Adam_2023-08-12_21-04-33"
14,-0.76,46.30191516876221,True,1,5d41e_00014,2023-08-12_21-05-23,1691888723,46.30191516876221,444748,farpoint,10.0.0.144,46.30191516876221,1,0.4233255325171716,0.19081783493345972,0.0008725706436779954,5,5,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00014_14_decay=0.4233,epsilon=0.1908,lr=0.0009,ngames=5,ngates=5,optimizer=Adam_2023-08-12_21-04-33"
15,-0.7777777777777778,10.897001028060911,True,1,5d41e_00015,2023-08-12_21-04-48,1691888688,10.897001028060911,444749,farpoint,10.0.0.144,10.897001028060911,1,0.31213738985991424,0.1692972620301115,0.05202691530592822,3,2,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00015_15_decay=0.3121,epsilon=0.1693,lr=0.0520,ngames=3,ngates=2,optimizer=Adam_2023-08-12_21-04-33"
16,-0.8333333333333334,26.56458330154419,True,1,5d41e_00016,2023-08-12_21-05-04,1691888704,26.56458330154419,444750,farpoint,10.0.0.144,26.56458330154419,1,0.02200754359643134,0.3705277747524895,0.0016662233755180803,4,6,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00016_16_decay=0.0220,epsilon=0.3705,lr=0.0017,ngames=4,ngates=6,optimizer=SGD_2023-08-12_21-04-33"
17,-0.9333333333333332,17.161818742752075,True,1,5d41e_00017,2023-08-12_21-04-55,1691888695,17.161818742752075,444759,farpoint,10.0.0.144,17.161818742752075,1,0.014429355097842411,0.49716678287271343,0.00020100988848572264,5,2,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00017_17_decay=0.0144,epsilon=0.4972,lr=0.0002,ngames=5,ngates=2,optimizer=SGD_2023-08-12_21-04-33"
18,-0.7777777777777778,14.619125127792358,True,1,5d41e_00018,2023-08-12_21-04-52,1691888692,14.619125127792358,444760,farpoint,10.0.0.144,14.619125127792358,1,0.007552652511530475,0.0793171347333682,0.023320047823723808,3,4,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00018_18_decay=0.0076,epsilon=0.0793,lr=0.0233,ngames=3,ngates=4,optimizer=SGD_2023-08-12_21-04-33"
19,-0.7222222222222222,14.059154272079468,False,1,5d41e_00019,2023-08-12_21-04-51,1691888691,14.059154272079468,444769,farpoint,10.0.0.144,14.059154272079468,1,0.00856529833454633,0.2472960466890526,0.0019542392785156905,3,4,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00019_19_decay=0.0086,epsilon=0.2473,lr=0.0020,ngames=3,ngates=4,optimizer=SGD_2023-08-12_21-04-33"
20,-0.6888888888888889,23.278685331344604,False,1,5d41e_00020,2023-08-12_21-05-00,1691888700,23.278685331344604,444770,farpoint,10.0.0.144,23.278685331344604,1,0.3530329932244222,0.4114338740864187,0.006652139392642644,3,5,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00020_20_decay=0.3530,epsilon=0.4114,lr=0.0067,ngames=3,ngates=5,optimizer=Adam_2023-08-12_21-04-33"
21,-0.8888888888888888,9.640759468078612,True,1,5d41e_00021,2023-08-12_21-04-47,1691888687,9.640759468078612,444771,farpoint,10.0.0.144,9.640759468078612,1,0.002549501992044557,0.34031787574717687,3.457597560662569e-05,3,2,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00021_21_decay=0.0025,epsilon=0.3403,lr=0.0000,ngames=3,ngates=2,optimizer=SGD_2023-08-12_21-04-33"
22,-0.8666666666666667,16.344155311584473,True,1,5d41e_00022,2023-08-12_21-04-54,1691888694,16.344155311584473,444780,farpoint,10.0.0.144,16.344155311584473,1,0.1365177029230131,0.46922848515762183,0.0013108020194087452,3,5,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00022_22_decay=0.1365,epsilon=0.4692,lr=0.0013,ngames=3,ngates=5,optimizer=SGD_2023-08-12_21-04-33"
23,-0.6111111111111112,22.10316276550293,False,1,5d41e_00023,2023-08-12_21-04-59,1691888699,22.10316276550293,444781,farpoint,10.0.0.144,22.10316276550293,1,0.49815679269362334,0.19589011265030332,3.133831905683692e-05,4,3,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00023_23_decay=0.4982,epsilon=0.1959,lr=0.0000,ngames=4,ngates=3,optimizer=Adam_2023-08-12_21-04-33"
24,-0.7777777777777778,10.012126445770264,True,1,5d41e_00024,2023-08-12_21-04-47,1691888687,10.012126445770264,444782,farpoint,10.0.0.144,10.012126445770264,1,0.0066430981292957565,0.24613963055525187,0.01752486203957197,3,2,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00024_24_decay=0.0066,epsilon=0.2461,lr=0.0175,ngames=3,ngates=2,optimizer=RMSprop_2023-08-12_21-04-33"
25,-0.6666666666666666,10.649137258529665,False,1,5d41e_00025,2023-08-12_21-04-48,1691888688,10.649137258529665,444783,farpoint,10.0.0.144,10.649137258529665,1,0.20652100470730397,0.02323188790786248,0.0006907583259882306,3,2,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00025_25_decay=0.2065,epsilon=0.0232,lr=0.0007,ngames=3,ngates=2,optimizer=Adam_2023-08-12_21-04-33"
26,-1.0,12.1738543510437,True,1,5d41e_00026,2023-08-12_21-04-50,1691888690,12.1738543510437,444784,farpoint,10.0.0.144,12.1738543510437,1,0.015205687521277163,0.46096974977405486,0.0002731740923199959,3,3,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00026_26_decay=0.0152,epsilon=0.4610,lr=0.0003,ngames=3,ngates=3,optimizer=SGD_2023-08-12_21-04-33"
27,-0.7777777777777778,9.264709949493408,True,1,5d41e_00027,2023-08-12_21-04-47,1691888687,9.264709949493408,444793,farpoint,10.0.0.144,9.264709949493408,1,0.13194092091722504,0.42317894630541714,0.00015131701865426803,3,2,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00027_27_decay=0.1319,epsilon=0.4232,lr=0.0002,ngames=3,ngates=2,optimizer=SGD_2023-08-12_21-04-33"
28,-0.8222222222222222,22.605774879455566,True,1,5d41e_00028,2023-08-12_21-05-00,1691888700,22.605774879455566,444794,farpoint,10.0.0.144,22.605774879455566,1,0.002813027838436634,0.4815342187503262,1.0032110181229517e-05,3,5,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00028_28_decay=0.0028,epsilon=0.4815,lr=0.0000,ngames=3,ngates=5,optimizer=Adam_2023-08-12_21-04-33"
29,-0.9444444444444444,12.79046106338501,True,1,5d41e_00029,2023-08-12_21-04-50,1691888690,12.79046106338501,444811,farpoint,10.0.0.144,12.79046106338501,1,0.005064295500268733,0.3330307933996891,0.013267950132021289,3,4,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00029_29_decay=0.0051,epsilon=0.3330,lr=0.0133,ngames=3,ngates=4,optimizer=SGD_2023-08-12_21-04-33"
30,-0.6666666666666666,7.598759651184082,False,1,5d41e_00030,2023-08-12_21-04-45,1691888685,7.598759651184082,444812,farpoint,10.0.0.144,7.598759651184082,1,0.020339680677980854,0.1586836664973843,0.01828579564621886,3,2,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00030_30_decay=0.0203,epsilon=0.1587,lr=0.0183,ngames=3,ngates=2,optimizer=SGD_2023-08-12_21-04-33"
