,acc,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/decay,config/epsilon,config/lr,config/ngames,config/ngates,config/optimizer,config/params/attempt,config/params/cursor_y_axis,config/params/display,config/params/display_scale,config/params/game_height,config/params/game_width,config/params/game_x_axis,config/params/game_y_axis,config/params/gate_cushion,config/params/gate_min_distance,config/params/gate_size,config/params/ngates,config/params/player_start_x,config/params/plot_score,config/params/speed,config/params/target_acc,config/params/total_games,logdir
31,-0.7037037037037037,20.01904535293579,False,1,5d41e_00031,2023-08-12_21-04-57,1691888697,20.01904535293579,444813,farpoint,10.0.0.144,20.01904535293579,1,0.03507059844252212,0.03221542470798787,5.0422007904347044e-05,3,6,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00031_31_decay=0.0351,epsilon=0.0322,lr=0.0001,ngames=3,ngates=6,optimizer=SGD_2023-08-12_21-04-33"
32,-0.8055555555555556,35.732421875,True,1,5d41e_00032,2023-08-12_21-05-21,1691888721,35.732421875,444812,farpoint,10.0.0.144,35.732421875,1,0.001756189391934027,0.42281638807282096,0.004818734713201821,4,6,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00032_32_decay=0.0018,epsilon=0.4228,lr=0.0048,ngames=4,ngates=6,optimizer=Adam_2023-08-12_21-04-33"
33,-0.8222222222222222,14.95400619506836,True,1,5d41e_00033,2023-08-12_21-05-02,1691888702,14.95400619506836,444793,farpoint,10.0.0.144,14.95400619506836,1,0.02087735878880463,0.2669245994211156,0.026029022597134296,3,5,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00033_33_decay=0.0209,epsilon=0.2669,lr=0.0260,ngames=3,ngates=5,optimizer=SGD_2023-08-12_21-04-33"
34,-0.7333333333333333,31.04559898376465,True,1,5d41e_00034,2023-08-12_21-05-18,1691888718,31.04559898376465,444771,farpoint,10.0.0.144,31.04559898376465,1,0.01654478813728734,0.39177737874928126,0.0037307146648570453,5,3,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00034_34_decay=0.0165,epsilon=0.3918,lr=0.0037,ngames=5,ngates=3,optimizer=Adam_2023-08-12_21-04-33"
35,-0.8888888888888888,34.84137320518494,True,1,5d41e_00035,2023-08-12_21-05-22,1691888722,34.84137320518494,444782,farpoint,10.0.0.144,34.84137320518494,1,0.19199801434881958,0.43747283826161365,0.08193145755762264,4,6,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00035_35_decay=0.1920,epsilon=0.4375,lr=0.0819,ngames=4,ngates=6,optimizer=Adam_2023-08-12_21-04-37"
36,-0.9,27.91731595993042,True,1,5d41e_00036,2023-08-12_21-05-16,1691888716,27.91731595993042,444783,farpoint,10.0.0.144,27.91731595993042,1,0.028192932189446844,0.1863214219902062,0.00048359778709178026,4,5,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00036_36_decay=0.0282,epsilon=0.1863,lr=0.0005,ngames=4,ngates=5,optimizer=SGD_2023-08-12_21-04-37"
37,-0.7777777777777778,9.77804160118103,True,1,5d41e_00037,2023-08-12_21-04-58,1691888698,9.77804160118103,444749,farpoint,10.0.0.144,9.77804160118103,1,0.15736412657474125,0.01007818757223381,1.776196192704139e-05,3,2,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00037_37_decay=0.1574,epsilon=0.0101,lr=0.0000,ngames=3,ngates=2,optimizer=SGD_2023-08-12_21-04-37"
38,-0.7,31.968689918518063,False,1,5d41e_00038,2023-08-12_21-05-22,1691888722,31.968689918518063,444784,farpoint,10.0.0.144,31.968689918518063,1,0.02313038809715144,0.217424120452268,0.023213355679144985,5,4,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00038_38_decay=0.0231,epsilon=0.2174,lr=0.0232,ngames=5,ngates=4,optimizer=RMSprop_2023-08-12_21-04-37"
39,-0.7083333333333334,23.585588932037357,False,1,5d41e_00039,2023-08-12_21-05-14,1691888714,23.585588932037357,444811,farpoint,10.0.0.144,23.585588932037357,1,0.0047239094808966845,0.4556814031162131,0.07891163945015757,4,4,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00039_39_decay=0.0047,epsilon=0.4557,lr=0.0789,ngames=4,ngates=4,optimizer=RMSprop_2023-08-12_21-04-37"
40,-0.8666666666666667,25.766984701156616,True,1,5d41e_00040,2023-08-12_21-05-17,1691888717,25.766984701156616,444746,farpoint,10.0.0.144,25.766984701156616,1,0.010134632133488943,0.440729450472397,0.0027040258339445897,5,3,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00040_40_decay=0.0101,epsilon=0.4407,lr=0.0027,ngames=5,ngates=3,optimizer=SGD_2023-08-12_21-04-37"
41,-0.7407407407407407,19.75467562675476,True,1,5d41e_00041,2023-08-12_21-05-11,1691888711,19.75467562675476,444769,farpoint,10.0.0.144,19.75467562675476,1,0.06778465452313388,0.10321200335918669,0.0007746551039956105,3,6,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00041_41_decay=0.0678,epsilon=0.1032,lr=0.0008,ngames=3,ngates=6,optimizer=SGD_2023-08-12_21-04-37"
42,-0.6666666666666666,25.239373207092285,False,1,5d41e_00042,2023-08-12_21-05-17,1691888717,25.239373207092285,444702,farpoint,10.0.0.144,25.239373207092285,1,0.14144631857905232,0.495532561901095,2.1338384698374452e-05,5,2,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00042_42_decay=0.1414,epsilon=0.4955,lr=0.0000,ngames=5,ngates=2,optimizer=RMSprop_2023-08-12_21-04-37"
43,-0.8333333333333334,33.588781118392944,True,1,5d41e_00043,2023-08-12_21-05-25,1691888725,33.588781118392944,444760,farpoint,10.0.0.144,33.588781118392944,1,0.39189227003730437,0.20184927182868076,2.4550808453082136e-05,5,4,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00043_43_decay=0.3919,epsilon=0.2018,lr=0.0000,ngames=5,ngates=4,optimizer=Adam_2023-08-12_21-04-37"
44,-1.0,20.58438491821289,True,1,5d41e_00044,2023-08-12_21-05-13,1691888713,20.58438491821289,444728,farpoint,10.0.0.144,20.58438491821289,1,0.0030545784760670595,0.11255386976800065,0.012483739439405487,3,5,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00044_44_decay=0.0031,epsilon=0.1126,lr=0.0125,ngames=3,ngates=5,optimizer=RMSprop_2023-08-12_21-04-37"
45,-0.8333333333333334,26.652525424957275,True,1,5d41e_00045,2023-08-12_21-05-20,1691888720,26.652525424957275,444780,farpoint,10.0.0.144,26.652525424957275,1,0.002115941154653022,0.19768847542399512,0.04996324422464844,4,5,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00045_45_decay=0.0021,epsilon=0.1977,lr=0.0500,ngames=4,ngates=5,optimizer=SGD_2023-08-12_21-04-37"
46,-0.6888888888888889,35.46161508560181,False,1,5d41e_00046,2023-08-12_21-05-29,1691888729,35.46161508560181,444725,farpoint,10.0.0.144,35.46161508560181,1,0.029169334336873857,0.1259715756874393,0.0035187135121716767,5,6,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00046_46_decay=0.0292,epsilon=0.1260,lr=0.0035,ngames=5,ngates=6,optimizer=RMSprop_2023-08-12_21-04-37"
47,-0.6666666666666666,31.56009292602539,False,1,5d41e_00047,2023-08-12_21-05-26,1691888726,31.56009292602539,444759,farpoint,10.0.0.144,31.56009292602539,1,0.06507526916385863,0.4894671196928599,1.6232337283742697e-05,5,4,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00047_47_decay=0.0651,epsilon=0.4895,lr=0.0000,ngames=5,ngates=4,optimizer=Adam_2023-08-12_21-04-37"
48,-0.7777777777777778,16.416870832443237,True,1,5d41e_00048,2023-08-12_21-05-14,1691888714,16.416870832443237,444813,farpoint,10.0.0.144,16.416870832443237,1,0.4334553558861083,0.15651845814967044,2.699583108073218e-05,3,4,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00048_48_decay=0.4335,epsilon=0.1565,lr=0.0000,ngames=3,ngates=4,optimizer=Adam_2023-08-12_21-04-37"
49,-0.8,35.45696139335632,True,1,5d41e_00049,2023-08-12_21-05-33,1691888733,35.45696139335632,444722,farpoint,10.0.0.144,35.45696139335632,1,0.051421270579383185,0.08300525134757689,0.030080917859309678,5,6,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00049_49_decay=0.0514,epsilon=0.0830,lr=0.0301,ngames=5,ngates=6,optimizer=Adam_2023-08-12_21-04-37"
50,-0.8666666666666667,19.57223629951477,True,1,5d41e_00050,2023-08-12_21-05-18,1691888718,19.57223629951477,444749,farpoint,10.0.0.144,19.57223629951477,1,0.04549401727721629,0.23036996421979117,0.059054705427251906,5,2,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00050_50_decay=0.0455,epsilon=0.2304,lr=0.0591,ngames=5,ngates=2,optimizer=RMSprop_2023-08-12_21-04-37"
51,-0.8333333333333334,14.466434478759766,True,1,5d41e_00051,2023-08-12_21-05-14,1691888714,14.466434478759766,444781,farpoint,10.0.0.144,14.466434478759766,1,0.038794991623020116,0.4792401314701035,0.0014201012473834538,4,2,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00051_51_decay=0.0388,epsilon=0.4792,lr=0.0014,ngames=4,ngates=2,optimizer=SGD_2023-08-12_21-04-37"
52,-0.7083333333333334,25.019125938415527,True,1,5d41e_00052,2023-08-12_21-05-25,1691888725,25.019125938415527,444794,farpoint,10.0.0.144,25.019125938415527,1,0.10362612216801578,0.34868677484836375,0.0018300892797509913,4,4,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00052_52_decay=0.1036,epsilon=0.3487,lr=0.0018,ngames=4,ngates=4,optimizer=Adam_2023-08-12_21-04-37"
53,-0.7333333333333333,23.0367124080658,True,1,5d41e_00053,2023-08-12_21-05-23,1691888723,23.0367124080658,444721,farpoint,10.0.0.144,23.0367124080658,1,0.020633846316748514,0.45348523020481735,0.0031746832907847103,5,3,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00053_53_decay=0.0206,epsilon=0.4535,lr=0.0032,ngames=5,ngates=3,optimizer=SGD_2023-08-12_21-04-37"
54,-0.6888888888888889,22.80766272544861,False,1,5d41e_00054,2023-08-12_21-05-23,1691888723,22.80766272544861,444770,farpoint,10.0.0.144,22.80766272544861,1,0.018545003523242492,0.44343593222164773,0.0005136316992111887,5,3,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00054_54_decay=0.0185,epsilon=0.4434,lr=0.0005,ngames=5,ngates=3,optimizer=SGD_2023-08-12_21-04-37"
55,-0.8888888888888888,10.9347403049469,True,1,5d41e_00055,2023-08-12_21-05-13,1691888713,10.9347403049469,444793,farpoint,10.0.0.144,10.9347403049469,1,0.008620525827595546,0.2038317395300318,0.000911892808653926,3,2,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00055_55_decay=0.0086,epsilon=0.2038,lr=0.0009,ngames=3,ngates=2,optimizer=RMSprop_2023-08-12_21-04-37"
56,-0.6888888888888889,16.820985555648804,False,1,5d41e_00056,2023-08-12_21-05-21,1691888721,16.820985555648804,444750,farpoint,10.0.0.144,16.820985555648804,1,0.0015125703245332937,0.32889194129456517,0.010020012133332491,3,5,RMSprop,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00056_56_decay=0.0015,epsilon=0.3289,lr=0.0100,ngames=3,ngates=5,optimizer=RMSprop_2023-08-12_21-04-37"
57,-0.7333333333333333,15.361106872558594,True,1,5d41e_00057,2023-08-12_21-05-22,1691888722,15.361106872558594,444724,farpoint,10.0.0.144,15.361106872558594,1,0.15429016687452804,0.4191045946318588,0.015337876822613589,3,5,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00057_57_decay=0.1543,epsilon=0.4191,lr=0.0153,ngames=3,ngates=5,optimizer=SGD_2023-08-12_21-04-37"
58,-0.6666666666666666,15.64786171913147,False,1,5d41e_00058,2023-08-12_21-05-24,1691888724,15.64786171913147,444727,farpoint,10.0.0.144,15.64786171913147,1,0.09796040236434207,0.3147382961918867,0.058404763880360776,3,4,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00058_58_decay=0.0980,epsilon=0.3147,lr=0.0584,ngames=3,ngates=4,optimizer=Adam_2023-08-12_21-04-37"
59,-1.0,9.883505582809448,True,1,5d41e_00059,2023-08-12_21-05-19,1691888719,9.883505582809448,444737,farpoint,10.0.0.144,9.883505582809448,1,0.04097690131128964,0.2734303753790795,1.3666936812805179e-05,3,2,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00059_59_decay=0.0410,epsilon=0.2734,lr=0.0000,ngames=3,ngates=2,optimizer=SGD_2023-08-12_21-04-37"
60,-0.7866666666666666,25.8337037563324,True,1,5d41e_00060,2023-08-12_21-05-36,1691888736,25.8337037563324,444747,farpoint,10.0.0.144,25.8337037563324,1,0.0019373986944572167,0.024777728091627822,0.00031895654661893134,5,5,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00060_60_decay=0.0019,epsilon=0.0248,lr=0.0003,ngames=5,ngates=5,optimizer=Adam_2023-08-12_21-04-37"
61,-0.8888888888888888,11.668185710906982,True,1,5d41e_00061,2023-08-12_21-05-22,1691888722,11.668185710906982,444726,farpoint,10.0.0.144,11.668185710906982,1,0.004865866119872189,0.24636840597466977,0.0005243301631129533,3,4,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00061_61_decay=0.0049,epsilon=0.2464,lr=0.0005,ngames=3,ngates=4,optimizer=SGD_2023-08-12_21-04-37"
62,-0.4444444444444444,10.686972856521606,False,1,5d41e_00062,2023-08-12_21-05-22,1691888722,10.686972856521606,444769,farpoint,10.0.0.144,10.686972856521606,1,0.1680199110292041,0.4717952558745178,0.0005658173502086391,3,2,Adam,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00062_62_decay=0.1680,epsilon=0.4718,lr=0.0006,ngames=3,ngates=2,optimizer=Adam_2023-08-12_21-04-37"
63,-0.76,21.724714040756226,True,1,5d41e_00063,2023-08-12_21-05-33,1691888733,21.724714040756226,444712,farpoint,10.0.0.144,21.724714040756226,1,0.012843202650111605,0.4090290655318373,0.00032248377692855235,5,5,SGD,8,795,False,3,810,540,180,270,1,5,20,5,200,True,0,-100,500,"/home/zckaufman/ray_results/train_2023-08-12_21-04-33/train_5d41e_00063_63_decay=0.0128,epsilon=0.4090,lr=0.0003,ngames=5,ngates=5,optimizer=SGD_2023-08-12_21-04-37"
